Size	Latency (us)	np	Algorithm
2048	1.86	4	scatter_binomial
4096	2.72	4	scatter_binomial
8192	4.55	4	scatter_binomial
16384	10.57	4	scatter_binomial
32768	12.25	4	scatter_binomial
65536	20.08	4	scatter_binomial
131072	40.73	4	scatter_binomial
262144	84.71	4	scatter_binomial
524288	184.29	4	scatter_binomial
1048576	388.79	4	scatter_binomial
2	1.47	8	broadcast_flat
4	1.48	8	broadcast_flat
8	1.7	8	broadcast_flat
16	1.67	8	broadcast_flat
32	1.93	8	broadcast_flat
64	1.76	8	broadcast_flat
128	2.76	8	broadcast_flat
256	2.82	8	broadcast_flat
512	3.3	8	broadcast_flat
1024	3.46	8	broadcast_flat
2048	4.74	8	broadcast_flat
4096	6.83	8	broadcast_flat
8192	9.99	8	broadcast_flat
16384	21.05	8	broadcast_flat
32768	31.5	8	broadcast_flat
65536	64.11	8	broadcast_flat
131072	134.84	8	broadcast_flat
262144	302.63	8	broadcast_flat
524288	591.41	8	broadcast_flat
1048576	1131.09	8	broadcast_flat
2	1.78	8	broadcast_chain
4	1.73	8	broadcast_chain
8	1.68	8	broadcast_chain
16	1.69	8	broadcast_chain
32	1.86	8	broadcast_chain
64	1.83	8	broadcast_chain
128	2.9	8	broadcast_chain
256	3.06	8	broadcast_chain
512	3.28	8	broadcast_chain
1024	3.54	8	broadcast_chain
2048	4.88	8	broadcast_chain
4096	6.66	8	broadcast_chain
8192	9.64	8	broadcast_chain
16384	18.43	8	broadcast_chain
32768	32.05	8	broadcast_chain
65536	61.91	8	broadcast_chain
131072	120.04	8	broadcast_chain
262144	234.18	8	broadcast_chain
524288	465.44	8	broadcast_chain
1048576	819.62	8	broadcast_chain
2	1.68	8	broadcast_binary_tree
4	1.81	8	broadcast_binary_tree
8	1.78	8	broadcast_binary_tree
16	1.71	8	broadcast_binary_tree
32	1.99	8	broadcast_binary_tree
64	2.05	8	broadcast_binary_tree
128	3.0	8	broadcast_binary_tree
256	3.04	8	broadcast_binary_tree
512	3.37	8	broadcast_binary_tree
1024	3.62	8	broadcast_binary_tree
2048	4.98	8	broadcast_binary_tree
4096	6.74	8	broadcast_binary_tree
8192	9.77	8	broadcast_binary_tree
16384	22.26	8	broadcast_binary_tree
32768	34.79	8	broadcast_binary_tree
65536	62.96	8	broadcast_binary_tree
131072	117.93	8	broadcast_binary_tree
262144	215.43	8	broadcast_binary_tree
524288	379.57	8	broadcast_binary_tree
1048576	649.19	8	broadcast_binary_tree
2	1.68	8	scatter_flat
4	1.66	8	scatter_flat
8	1.76	8	scatter_flat
16	1.74	8	scatter_flat
32	2.05	8	scatter_flat
64	1.8	8	scatter_flat
128	2.91	8	scatter_flat
256	2.92	8	scatter_flat
512	3.25	8	scatter_flat
1024	3.63	8	scatter_flat
2048	4.72	8	scatter_flat
4096	6.81	8	scatter_flat
8192	10.09	8	scatter_flat
16384	20.98	8	scatter_flat
32768	31.93	8	scatter_flat
65536	64.51	8	scatter_flat
131072	135.66	8	scatter_flat
262144	296.19	8	scatter_flat
524288	588.12	8	scatter_flat
1048576	1095.33	8	scatter_flat
2	2.19	8	scatter_basic_linear
4	2.07	8	scatter_basic_linear
8	2.13	8	scatter_basic_linear
16	2.12	8	scatter_basic_linear
32	2.25	8	scatter_basic_linear
64	2.19	8	scatter_basic_linear
128	3.69	8	scatter_basic_linear
256	3.56	8	scatter_basic_linear
512	3.82	8	scatter_basic_linear
1024	4.06	8	scatter_basic_linear
2048	5.92	8	scatter_basic_linear
4096	7.75	8	scatter_basic_linear
8192	12.25	8	scatter_basic_linear
16384	16.0	8	scatter_basic_linear
32768	31.38	8	scatter_basic_linear
65536	66.03	8	scatter_basic_linear
131072	134.03	8	scatter_basic_linear
262144	298.13	8	scatter_basic_linear
524288	593.73	8	scatter_basic_linear
1048576	1110.43	8	scatter_basic_linear
2	1.73	8	scatter_binomial
4	1.76	8	scatter_binomial
8	1.71	8	scatter_binomial
16	1.71	8	scatter_binomial
32	1.87	8	scatter_binomial
64	2.02	8	scatter_binomial
128	3.02	8	scatter_binomial
256	3.09	8	scatter_binomial
512	3.26	8	scatter_binomial
1024	3.58	8	scatter_binomial
2048	4.98	8	scatter_binomial
4096	6.7	8	scatter_binomial
8192	9.64	8	scatter_binomial
16384	18.2	8	scatter_binomial
32768	32.12	8	scatter_binomial
65536	61.38	8	scatter_binomial
131072	118.38	8	scatter_binomial
262144	204.67	8	scatter_binomial
524288	431.56	8	scatter_binomial
1048576	783.46	8	scatter_binomial
2	1.71	16	broadcast_flat
4	1.67	16	broadcast_flat
8	1.66	16	broadcast_flat
16	1.67	16	broadcast_flat
32	2.0	16	broadcast_flat
64	2.07	16	broadcast_flat
128	3.35	16	broadcast_flat
256	3.11	16	broadcast_flat
512	3.61	16	broadcast_flat
1024	4.07	16	broadcast_flat
2048	5.65	16	broadcast_flat
4096	7.47	16	broadcast_flat
8192	10.41	16	broadcast_flat
16384	23.4	16	broadcast_flat
32768	40.23	16	broadcast_flat
65536	79.61	16	broadcast_flat
131072	180.13	16	broadcast_flat
262144	356.07	16	broadcast_flat
524288	687.59	16	broadcast_flat
1048576	652.5	16	broadcast_flat
2	1.7	16	broadcast_chain
4	1.66	16	broadcast_chain
8	1.65	16	broadcast_chain
16	1.66	16	broadcast_chain
32	2.08	16	broadcast_chain
64	2.09	16	broadcast_chain
128	3.46	16	broadcast_chain
256	3.39	16	broadcast_chain
512	4.11	16	broadcast_chain
1024	4.56	16	broadcast_chain
2048	6.45	16	broadcast_chain
4096	9.0	16	broadcast_chain
8192	13.14	16	broadcast_chain
16384	30.4	16	broadcast_chain
32768	48.82	16	broadcast_chain
65536	89.91	16	broadcast_chain
131072	171.19	16	broadcast_chain
262144	297.96	16	broadcast_chain
524288	563.59	16	broadcast_chain
1048576	1062.31	16	broadcast_chain
2	1.97	16	broadcast_binary_tree
4	1.92	16	broadcast_binary_tree
8	1.92	16	broadcast_binary_tree
16	1.92	16	broadcast_binary_tree
32	2.33	16	broadcast_binary_tree
64	2.25	16	broadcast_binary_tree
128	3.74	16	broadcast_binary_tree
256	3.77	16	broadcast_binary_tree
512	4.54	16	broadcast_binary_tree
1024	4.89	16	broadcast_binary_tree
2048	6.71	16	broadcast_binary_tree
4096	9.08	16	broadcast_binary_tree
8192	12.99	16	broadcast_binary_tree
16384	30.13	16	broadcast_binary_tree
32768	47.11	16	broadcast_binary_tree
65536	83.79	16	broadcast_binary_tree
131072	147.4	16	broadcast_binary_tree
262144	271.38	16	broadcast_binary_tree
524288	518.07	16	broadcast_binary_tree
1048576	901.27	16	broadcast_binary_tree
2	1.84	16	scatter_flat
4	1.74	16	scatter_flat
8	1.78	16	scatter_flat
16	1.79	16	scatter_flat
32	2.11	16	scatter_flat
64	2.06	16	scatter_flat
128	3.58	16	scatter_flat
256	3.32	16	scatter_flat
512	3.95	16	scatter_flat
1024	4.29	16	scatter_flat
2048	5.66	16	scatter_flat
4096	8.0	16	scatter_flat
8192	10.95	16	scatter_flat
16384	25.3	16	scatter_flat
32768	44.08	16	scatter_flat
65536	85.03	16	scatter_flat
131072	157.2	16	scatter_flat
262144	320.98	16	scatter_flat
524288	636.33	16	scatter_flat
1048576	606.95	16	scatter_flat
2	2.44	16	scatter_basic_linear
4	2.36	16	scatter_basic_linear
8	2.35	16	scatter_basic_linear
16	2.38	16	scatter_basic_linear
32	2.78	16	scatter_basic_linear
64	2.86	16	scatter_basic_linear
128	6.25	16	scatter_basic_linear
256	5.83	16	scatter_basic_linear
